numero,municipio,codigo.ibge,ano,valor
1,Abreu e Lima,2600054,2012,94989566.68
1,Abreu e Lima,2600054,2013,119323282.9
1,Abreu e Lima,2600054,2014,117812252.93
1,Abreu e Lima,2600054,2015,102815128.01
1,Abreu e Lima,2600054,2016,135456790.94
1,Abreu e Lima,2600054,2017,148882670.79
1,Abreu e Lima,2600054,2018,149863685.86
1,Abreu e Lima,2600054,2019,157965132.98
1,Abreu e Lima,2600054,2020,172232780.7
1,Abreu e Lima,2600054,2021,118149536.55
1,Abreu e Lima,2600054,2022,198890001.31
1,Abreu e Lima,2600054,2023,274849611.14
1,Abreu e Lima,2600054,2024,306098594.14
2,Afogados da Ingazeira,2600104,2012,55770065.56
2,Afogados da Ingazeira,2600104,2013,56769680.96
2,Afogados da Ingazeira,2600104,2014,66087027.46
2,Afogados da Ingazeira,2600104,2015,65748969.17
2,Afogados da Ingazeira,2600104,2016,72433739.13
2,Afogados da Ingazeira,2600104,2017,83567840.61
2,Afogados da Ingazeira,2600104,2018,92517764.7
2,Afogados da Ingazeira,2600104,2019,95146381.7
2,Afogados da Ingazeira,2600104,2020,93702467.29
2,Afogados da Ingazeira,2600104,2021,121237658.81
2,Afogados da Ingazeira,2600104,2022,155896639.67
2,Afogados da Ingazeira,2600104,2023,161775905.67
2,Afogados da Ingazeira,2600104,2024,187345784.47
3,Afrânio,2600203,2012,24965661.93
3,Afrânio,2600203,2013,32358864.03
3,Afrânio,2600203,2014,37352506.35
3,Afrânio,2600203,2015,37466134.87
3,Afrânio,2600203,2016,46175366.92
3,Afrânio,2600203,2017,43463767.74
3,Afrânio,2600203,2018,44390921.91
3,Afrânio,2600203,2019,51230718.29
3,Afrânio,2600203,2020,58868708.25
3,Afrânio,2600203,2021,56023340.95
3,Afrânio,2600203,2022,83920636.43
3,Afrânio,2600203,2023,85826170.5
3,Afrânio,2600203,2024,108942588.64
4,Agrestina,2600302,2012,10883602.05
4,Agrestina,2600302,2013,13635796.38
4,Agrestina,2600302,2014,48374565.27
4,Agrestina,2600302,2015,53886773.44
4,Agrestina,2600302,2016,65744612.59
4,Agrestina,2600302,2017,59029464.17
4,Agrestina,2600302,2018,76187067.65
4,Agrestina,2600302,2019,84307560.16
4,Agrestina,2600302,2020,101018290.76
4,Agrestina,2600302,2021,91919121
4,Agrestina,2600302,2022,113651124.69
4,Agrestina,2600302,2023,136430940.49
4,Agrestina,2600302,2024,158047187.31
5,Água Preta,2600401,2012,14276631.84
5,Água Preta,2600401,2013,13004717.74
5,Água Preta,2600401,2014,24941312.93
5,Água Preta,2600401,2015,57856468.54
5,Água Preta,2600401,2016,63568962.54
5,Água Preta,2600401,2017,66073623.51
5,Água Preta,2600401,2018,73407578.36
5,Água Preta,2600401,2019,74924714.52
5,Água Preta,2600401,2020,84758629.52
5,Água Preta,2600401,2021,84270099.13
5,Água Preta,2600401,2022,112920520.46
5,Água Preta,2600401,2023,118529102.85
5,Água Preta,2600401,2024,137524457.09
6,Águas Belas,2600500,2012,61786819.14
6,Águas Belas,2600500,2013,65026535.32
6,Águas Belas,2600500,2014,69824774.61
6,Águas Belas,2600500,2015,72665106.44
6,Águas Belas,2600500,2016,71628544.78
6,Águas Belas,2600500,2017,81990365.81
6,Águas Belas,2600500,2018,89794812.21
